;WEEK_PRI;YEAR_PRI;SOROTIPO;CASES
290;10;2022;2;8
291;10;2023; ;298
292;10;2023;1;108
293;10;2023;2;24
294;11;2001; ;1
295;11;2007; ;289
296;11;2008; ;2696
297;11;2008;2;14
298;11;2008;3;2
299;11;2008;4;1
300;11;2009; ;31
301;11;2010; ;25
302;11;2011; ;2900
303;11;2011;1;6
304;11;2011;2;1
305;11;2012; ;1159
306;11;2012;1;1
307;11;2012;4;34
308;11;2013; ;2734
309;11;2013;4;10
310;11;2014; ;16
311;11;2015; ;88
312;11;2015;1;1
313;11;2015;2;1
314;11;2016; ;120
315;11;2016;1;2
316;11;2017; ;117
317;11;2018; ;126
318;11;2019; ;277
319;11;2020; ;37
320;11;2020;1;1
321;11;2021; ;29
322;11;2022; ;56
323;11;2022;2;8
324;11;2023; ;361
325;11;2023;1;128
326;11;2023;2;19
327;12;2006; ;1
328;12;2007; ;297
329;12;2008; ;2504
330;12;2008;2;3
331;12;2009; ;23
332;12;2010; ;40
333;12;2011; ;4579
334;12;2011;1;4
335;12;2012; ;1688
336;12;2012;1;2
337;12;2012;4;30
338;12;2013; ;2811
339;12;2013;3;1
340;12;2013;4;16
341;12;2014; ;17
342;12;2015; ;98
343;12;2015;1;3
344;12;2016; ;174
345;12;2016;1;4
346;12;2017; ;96
347;12;2018; ;143
348;12;2019; ;361
349;12;2019;2;4
350;12;2020; ;20
351;12;2021; ;26
352;12;2021;2;3
353;12;2022; ;97
354;12;2022;1;2
355;12;2022;2;13
356;12;2023; ;500
357;12;2023;1;188
358;12;2023;2;40
359;13;2002; ;1
360;13;2007; ;243
361;13;2008; ;3905
362;13;2008;2;11
363;13;2009; ;9
364;13;2010; ;31
365;13;2011; ;4367
366;13;2011;1;2
367;13;2012; ;2188
368;13;2012;4;10
369;13;2013; ;2480
370;13;2013;1;1
371;13;2013;4;8
372;13;2014; ;16
373;13;2015; ;144
374;13;2015;1;4
375;13;2016; ;296
376;13;2016;1;2
377;13;2017; ;92
378;13;2018; ;177
379;13;2019; ;536
380;13;2020; ;28
381;13;2021; ;32
382;13;2021;2;1
383;13;2022; ;82
384;13;2022;1;1
385;13;2022;2;15
386;13;2023; ;497
387;13;2023;1;224
388;13;2023;2;27
389;14;2007; ;226
390;14;2007;3;3
391;14;2008; ;3345
392;14;2008;2;3
393;14;2009; ;17
394;14;2010; ;32
395;14;2011; ;4610
396;14;2011;1;9
397;14;2012; ;2345
398;14;2012;4;19
399;14;2013; ;2630
400;14;2013;3;2
401;14;2013;4;21
402;14;2014; ;16
403;14;2014;1;1
404;14;2015; ;232
405;14;2015;1;3
406;14;2015;4;1
407;14;2016; ;353
408;14;2016;1;1
409;14;2017; ;89
410;14;2017;4;1
411;14;2018; ;221
412;14;2018;2;1
413;14;2019; ;775
414;14;2020; ;27
415;14;2021; ;48
416;14;2021;2;2
417;14;2022; ;109
418;14;2022;1;6
419;14;2022;2;29
420;14;2023; ;534
421;14;2023;1;164
422;14;2023;2;27
423;15;2001; ;1
424;15;2006; ;2
425;15;2007; ;273
426;15;2007;2;1
427;15;2007;3;1
428;15;2008; ;2500
429;15;2009; ;12
430;15;2010; ;33
431;15;2010;2;1
432;15;2011; ;3825
433;15;2011;1;10
434;15;2011;2;1
435;15;2012; ;2891
436;15;2012;4;12
437;15;2013; ;2514
438;15;2013;1;1
439;15;2013;4;15
440;15;2014; ;18
441;15;2014;4;1
442;15;2015; ;208
443;15;2015;1;3
444;15;2015;4;2
445;15;2016; ;274
446;15;2016;1;3
447;15;2017; ;73
448;15;2018; ;210
449;15;2019; ;878
450;15;2020; ;16
451;15;2021; ;49
452;15;2021;2;1
453;15;2022; ;108
454;15;2022;1;5
455;15;2022;2;17
456;15;2023; ;564
457;15;2023;1;295
458;15;2023;2;27
459;16;2001; ;1
460;16;2003; ;1
461;16;2007; ;220
462;16;2007;2;1
463;16;2007;3;3
464;16;2008; ;1887
465;16;2008;2;2
466;16;2009; ;8
467;16;2010; ;47
468;16;2011; ;4219
469;16;2011;1;4
470;16;2011;2;1
471;16;2012; ;3645
472;16;2012;4;16
473;16;2013; ;2631
474;16;2013;4;5
475;16;2014; ;22
476;16;2015; ;321
477;16;2015;1;2
478;16;2016; ;210
479;16;2017; ;70
480;16;2018; ;189
481;16;2018;1;1
482;16;2019; ;917
483;16;2020; ;22
484;16;2021; ;24
485;16;2021;2;3
486;16;2022; ;130
487;16;2022;1;4
488;16;2022;2;20
489;16;2023; ;476
490;16;2023;1;244
491;16;2023;2;30
492;17;2001; ;1
493;17;2004; ;1
494;17;2007; ;174
495;17;2007;3;1
496;17;2008; ;1341
497;17;2008;2;2
498;17;2009; ;4
499;17;2010; ;67
500;17;2010;2;3
501;17;2011; ;5574
502;17;2011;1;7
503;17;2011;2;2
504;17;2012; ;3714
505;17;2012;4;13
506;17;2013; ;1874
507;17;2013;1;1
508;17;2013;3;1
509;17;2013;4;8
510;17;2014; ;19
511;17;2015; ;345
512;17;2015;1;4
513;17;2015;4;1
514;17;2016; ;182
515;17;2017; ;77
516;17;2017;4;1
517;17;2018; ;197
518;17;2019; ;1067
519;17;2020; ;17
520;17;2021; ;42
521;17;2022; ;169
522;17;2022;1;8
523;17;2022;2;37
524;17;2023; ;564
525;17;2023;1;212
526;17;2023;2;34
527;18;2002; ;1
528;18;2007; ;284
529;18;2007;2;1
530;18;2008; ;836
531;18;2008;2;2
532;18;2009; ;5
533;18;2010; ;78
534;18;2011; ;4598
535;18;2011;1;9
536;18;2011;2;1
537;18;2012; ;2860
538;18;2012;4;8
539;18;2013; ;865
540;18;2013;4;7
541;18;2014; ;15
542;18;2015; ;284
543;18;2015;1;8
544;18;2016; ;154
545;18;2017; ;71
546;18;2018; ;225
547;18;2019; ;1184
548;18;2020; ;15
549;18;2021; ;20
550;18;2021;2;1
551;18;2022; ;246
552;18;2022;1;20
553;18;2022;2;35
554;18;2023; ;657
555;18;2023;1;274
556;18;2023;2;32
557;19;2003; ;1
558;19;2006; ;1
559;19;2007; ;306
560;19;2007;3;1
561;19;2008; ;576
562;19;2009; ;7
563;19;2010; ;52
564;19;2010;1;1
565;19;2010;2;1
566;19;2011; ;4196
567;19;2011;1;7
568;19;2012; ;2536
569;19;2012;4;11
570;19;2013; ;506
571;19;2013;3;1
572;19;2013;4;6
573;19;2014; ;11
574;19;2015; ;304
575;19;2015;1;4
576;19;2015;4;1
577;19;2016; ;118
578;19;2016;1;1
579;19;2017; ;70
580;19;2018; ;235
581;19;2018;4;1
582;19;2019; ;1359
583;19;2020; ;18
584;19;2021; ;33
585;19;2021;2;2
586;19;2022; ;262
587;19;2022;1;20
588;19;2022;2;52
589;19;2023; ;632
590;19;2023;1;322
591;19;2023;2;39
592;20;2007; ;227
593;20;2007;3;2
594;20;2008; ;337
595;20;2008;2;2
596;20;2009; ;4
597;20;2010; ;67
598;20;2011; ;3367
599;20;2011;1;4
600;20;2012; ;1851
601;20;2012;4;6
602;20;2013; ;354
603;20;2013;4;4
604;20;2014; ;18
605;20;2015; ;257
606;20;2015;1;2
607;20;2016; ;79
608;20;2017; ;41
609;20;2018; ;222
610;20;2019; ;1176
611;20;2020; ;6
612;20;2021; ;46
613;20;2021;2;3
614;20;2022; ;212
615;20;2022;1;19
616;20;2022;2;16
617;20;2023; ;572
618;20;2023;1;300
619;20;2023;2;17
620;21;2006; ;2
621;21;2007; ;217
622;21;2008; ;205
623;21;2009; ;7
624;21;2010; ;54
625;21;2010;1;1
626;21;2011; ;2544
627;21;2011;1;2
628;21;2012; ;1592
629;21;2012;4;5
630;21;2013; ;264
631;21;2013;4;1
632;21;2014; ;14
633;21;2015; ;263
634;21;2015;1;2
635;21;2015;4;3
636;21;2016; ;73
637;21;2017; ;29
638;21;2018; ;129
639;21;2019; ;1127
640;21;2020; ;6
641;21;2021; ;35
642;21;2021;2;1
643;21;2022; ;242
644;21;2022;1;6
645;21;2022;2;12
646;21;2023; ;456
647;21;2023;1;260
648;21;2023;2;27
649;22;2006; ;2
650;22;2007; ;152
651;22;2008; ;163
652;22;2008;2;3
653;22;2009; ;4
654;22;2010; ;39
655;22;2011; ;2160
656;22;2011;1;1
657;22;2012; ;1079
658;22;2012;4;5
659;22;2013; ;153
660;22;2013;4;5
661;22;2014; ;8
662;22;2015; ;265
663;22;2015;1;4
664;22;2015;4;2
665;22;2016; ;84
666;22;2017; ;41
667;22;2018; ;137
668;22;2019; ;900
669;22;2020; ;6
670;22;2021; ;30
671;22;2021;2;2
672;22;2022; ;165
673;22;2022;1;18
674;22;2022;2;18
675;22;2023; ;469
676;22;2023;1;213
677;22;2023;2;28
678;23;2007; ;153
679;23;2008; ;72
680;23;2009; ;17
681;23;2010; ;25
682;23;2011; ;1321
683;23;2012; ;747
684;23;2012;1;2
685;23;2012;4;2
686;23;2013; ;108
687;23;2013;4;2
688;23;2014; ;19
689;23;2015; ;230
690;23;2016; ;90
691;23;2017; ;36
692;23;2018; ;129
693;23;2019; ;713
694;23;2020; ;4
695;23;2021; ;21
696;23;2021;2;4
697;23;2022; ;150
698;23;2022;1;5
699;23;2022;2;15
700;23;2023; ;451
701;23;2023;1;157
702;23;2023;2;25
703;24;2003; ;2
704;24;2004; ;1
705;24;2007; ;190
706;24;2007;2;1
707;24;2008; ;78
708;24;2008;2;1
709;24;2009; ;10
710;24;2010; ;53
711;24;2011; ;986
712;24;2012; ;530
713;24;2012;4;1
714;24;2013; ;105
715;24;2013;4;2
716;24;2014; ;14
717;24;2015; ;225
718;24;2016; ;46
719;24;2017; ;24
720;24;2018; ;125
721;24;2019; ;543
722;24;2020; ;8
723;24;2021; ;22
724;24;2021;2;4
725;24;2022; ;88
726;24;2022;1;5
727;24;2022;2;6
728;24;2023; ;451
729;24;2023;1;197
730;24;2023;2;16
731;25;2007; ;153
732;25;2008; ;53
733;25;2009; ;1
734;25;2010; ;28
735;25;2011; ;608
736;25;2012; ;389
737;25;2012;4;1
738;25;2013; ;101
739;25;2014; ;8
740;25;2015; ;135
741;25;2015;1;1
742;25;2016; ;70
743;25;2016;1;2
744;25;2017; ;20
745;25;2018; ;108
746;25;2019; ;401
747;25;2020; ;7
748;25;2021; ;13
749;25;2021;2;2
750;25;2022; ;104
751;25;2022;1;4
752;25;2022;2;5
753;25;2023; ;363
754;25;2023;1;193
755;25;2023;2;22
756;26;2005; ;1
757;26;2007; ;117
758;26;2007;2;1
759;26;2008; ;23
760;26;2009; ;8
761;26;2010; ;35
762;26;2011; ;495
763;26;2012; ;236
764;26;2012;4;1
765;26;2013; ;78
766;26;2013;4;1
767;26;2014; ;11
768;26;2015; ;125
769;26;2015;1;3
770;26;2016; ;95
771;26;2017; ;16
772;26;2018; ;127
773;26;2019; ;359
774;26;2020; ;6
775;26;2021; ;23
776;26;2021;2;3
777;26;2022; ;77
778;26;2022;1;9
779;26;2022;2;6
780;26;2023; ;274
781;26;2023;1;139
782;26;2023;2;15
783;27;2004; ;1
784;27;2007; ;60
785;27;2008; ;30
786;27;2009; ;8
787;27;2010; ;38
788;27;2010;1;1
789;27;2011; ;335
790;27;2011;1;1
791;27;2012; ;187
792;27;2013; ;50
793;27;2014; ;7
794;27;2015; ;97
795;27;2015;1;1
796;27;2016; ;89
797;27;2017; ;23
798;27;2018; ;150
799;27;2019; ;336
800;27;2020; ;7
801;27;2021; ;16
802;27;2021;1;1
803;27;2021;2;4
804;27;2022; ;68
805;27;2022;1;6
806;27;2022;2;7
807;27;2023; ;242
808;27;2023;1;108
809;27;2023;2;13
810;28;2006; ;1
811;28;2007; ;76
812;28;2008; ;20
813;28;2009; ;6
814;28;2010; ;35
815;28;2011; ;281
816;28;2012; ;98
817;28;2013; ;38
818;28;2014; ;6
819;28;2015; ;100
820;28;2015;1;1
821;28;2016; ;73
822;28;2017; ;24
823;28;2018; ;108
824;28;2019; ;202
825;28;2020; ;10
826;28;2021; ;12
827;28;2021;1;1
828;28;2021;2;1
829;28;2022; ;66
830;28;2022;1;6
831;28;2022;2;2
832;28;2023; ;238
833;28;2023;1;94
834;28;2023;2;14
835;29;2000; ;1
836;29;2003; ;1
837;29;2007; ;77
838;29;2008; ;33
839;29;2009; ;2
840;29;2010; ;32
841;29;2010;2;1
842;29;2011; ;199
843;29;2012; ;74
844;29;2013; ;36
845;29;2014; ;7
846;29;2014;4;1
847;29;2015; ;99
848;29;2015;1;2
849;29;2016; ;68
850;29;2016;4;1
851;29;2017; ;27
852;29;2018; ;101
853;29;2019; ;161
854;29;2020; ;10
855;29;2021; ;13
856;29;2021;2;2
857;29;2022; ;77
858;29;2022;1;8
859;29;2022;2;7
860;29;2023; ;196
861;29;2023;1;76
862;29;2023;2;6
863;30;2004; ;1
864;30;2007; ;79
865;30;2007;2;1
866;30;2008; ;40
867;30;2009; ;2
868;30;2010; ;61
869;30;2010;1;1
870;30;2011; ;183
871;30;2011;1;1
872;30;2012; ;50
873;30;2013; ;15
874;30;2014; ;3
875;30;2015; ;79
876;30;2015;1;2
877;30;2016; ;62
878;30;2016;4;2
879;30;2017; ;21
880;30;2017;4;1
881;30;2018; ;87
882;30;2019; ;107
883;30;2020; ;9
884;30;2021; ;8
885;30;2022; ;53
886;30;2022;1;6
887;30;2022;2;6
888;30;2023; ;155
889;30;2023;1;63
890;30;2023;2;8
891;31;2007; ;60
892;31;2007;3;1
893;31;2008; ;9
894;31;2009; ;3
895;31;2010; ;49
896;31;2011; ;126
897;31;2011;1;1
898;31;2012; ;83
899;31;2012;4;1
900;31;2013; ;20
901;31;2014; ;7
902;31;2015; ;59
903;31;2016; ;46
904;31;2016;4;1
905;31;2017; ;28
906;31;2018; ;54
907;31;2019; ;116
908;31;2020; ;6
909;31;2021; ;8
910;31;2022; ;40
911;31;2022;1;5
912;31;2022;2;5
913;31;2023; ;169
914;31;2023;1;73
915;31;2023;2;7
916;32;2007; ;69
917;32;2007;2;1
918;32;2008; ;23
919;32;2009; ;1
920;32;2010; ;52
921;32;2011; ;140
922;32;2012; ;70
923;32;2012;4;1
924;32;2013; ;16
925;32;2014; ;7
926;32;2015; ;62
927;32;2015;1;1
928;32;2016; ;30
929;32;2017; ;19
930;32;2018; ;75
931;32;2019; ;96
932;32;2020; ;7
933;32;2021; ;7
934;32;2021;2;3
935;32;2022; ;36
936;32;2022;1;4
937;32;2022;2;1
938;32;2023; ;162
939;32;2023;1;42
940;32;2023;2;9
941;33;2007; ;46
942;33;2007;2;1
943;33;2008; ;11
944;33;2009; ;3
945;33;2010; ;34
946;33;2011; ;143
947;33;2012; ;75
948;33;2012;4;1
949;33;2013; ;7
950;33;2014; ;13
951;33;2015; ;38
952;33;2016; ;41
953;33;2017; ;21
954;33;2018; ;50
955;33;2019; ;89
956;33;2020; ;9
957;33;2021; ;10
958;33;2022; ;32
959;33;2022;1;6
960;33;2023; ;131
961;33;2023;1;49
962;33;2023;2;8
963;34;2007; ;38
964;34;2008; ;14
965;34;2009; ;1
966;34;2010; ;28
967;34;2011; ;94
968;34;2012; ;71
969;34;2013; ;16
970;34;2014; ;5
971;34;2015; ;45
972;34;2016; ;30
973;34;2017; ;27
974;34;2018; ;43
975;34;2019; ;50
976;34;2020; ;4
977;34;2021; ;13
978;34;2022; ;34
979;34;2022;1;6
980;34;2023; ;123
981;34;2023;1;43
982;34;2023;2;13
983;35;2001; ;1
984;35;2007; ;58
985;35;2008; ;8
986;35;2009; ;3
987;35;2009;2;2
988;35;2010; ;21
989;35;2011; ;85
990;35;2012; ;32
991;35;2012;4;2
992;35;2013; ;6
993;35;2014; ;9
994;35;2015; ;27
995;35;2016; ;33
996;35;2016;4;2
997;35;2017; ;24
998;35;2018; ;39
999;35;2019; ;49
1000;35;2020; ;6
1001;35;2021; ;12
1002;35;2022; ;36
1003;35;2022;1;4
1004;35;2023; ;121
1005;35;2023;1;34
1006;35;2023;2;8
1007;36;2007; ;24
1008;36;2008; ;11
1009;36;2009; ;1
1010;36;2010; ;24
1011;36;2011; ;109
1012;36;2012; ;25
1013;36;2013; ;7
1014;36;2014; ;18
1015;36;2015; ;24
1016;36;2016; ;26
1017;36;2017; ;20
1018;36;2018; ;36
1019;36;2019; ;41
1020;36;2020; ;4
1021;36;2021; ;8
1022;36;2022; ;35
1023;36;2022;1;2
1024;36;2023; ;115
1025;36;2023;1;13
1026;36;2023;2;1
1027;37;2003; ;1
1028;37;2007; ;37
1029;37;2008; ;16
1030;37;2010; ;30
1031;37;2011; ;113
1032;37;2011;1;1
1033;37;2012; ;46
1034;37;2013; ;13
1035;37;2014; ;15
1036;37;2015; ;26
1037;37;2016; ;31
1038;37;2017; ;23
1039;37;2018; ;38
1040;37;2019; ;43
1041;37;2020; ;5
1042;37;2021; ;7
1043;37;2022; ;40
1044;37;2023; ;145
1045;37;2023;1;41
1046;37;2023;2;1
1047;38;2005; ;1
1048;38;2007; ;39
1049;38;2008; ;5
1050;38;2008;3;1
1051;38;2009; ;2
1052;38;2010; ;22
1053;38;2011; ;171
1054;38;2012; ;47
1055;38;2013; ;3
1056;38;2014; ;15
1057;38;2014;4;1
1058;38;2015; ;21
1059;38;2016; ;26
1060;38;2016;4;1
1061;38;2017; ;41
1062;38;2018; ;42
1063;38;2019; ;51
1064;38;2020; ;7
1065;38;2021; ;3
1066;38;2022; ;27
1067;38;2022;1;4
1068;38;2023; ;159
1069;38;2023;1;28
1070;38;2023;2;3
1071;39;2004; ;1
1072;39;2007; ;27
1073;39;2008; ;15
1074;39;2009; ;1
1075;39;2010; ;18
1076;39;2011; ;197
1077;39;2012; ;27
1078;39;2013; ;13
1079;39;2014; ;24
1080;39;2014;4;1
1081;39;2015; ;23
1082;39;2015;1;1
1083;39;2016; ;15
1084;39;2017; ;23
1085;39;2018; ;31
1086;39;2019; ;34
1087;39;2020; ;7
1088;39;2021; ;8
1089;39;2022; ;37
1090;39;2022;1;2
1091;39;2023; ;144
1092;39;2023;1;32
1093;39;2023;2;5
1094;40;2006; ;1
1095;40;2007; ;18
1096;40;2008; ;8
1097;40;2009; ;3
1098;40;2010; ;22
1099;40;2011; ;192
1100;40;2012; ;35
1101;40;2012;4;2
1102;40;2013; ;10
1103;40;2014; ;20
1104;40;2015; ;11
1105;40;2016; ;19
1106;40;2017; ;43
1107;40;2018; ;49
1108;40;2019; ;54
1109;40;2020; ;3
1110;40;2021; ;6
1111;40;2022; ;35
1112;40;2022;1;2
1113;40;2023; ;120
1114;40;2023;1;45
1115;40;2023;2;12
1116;41;2007; ;25
1117;41;2008; ;10
1118;41;2009; ;2
1119;41;2010; ;21
1120;41;2011; ;215
1121;41;2012; ;24
1122;41;2012;4;1
1123;41;2013; ;6
1124;41;2014; ;13
1125;41;2015; ;15
1126;41;2016; ;19
1127;41;2017; ;40
1128;41;2018; ;31
1129;41;2019; ;49
1130;41;2020; ;7
1131;41;2021; ;6
1132;41;2022; ;38
1133;41;2022;1;2
1134;41;2022;2;1
1135;41;2023; ;125
1136;41;2023;1;28
1137;41;2023;2;3
1138;42;2007; ;34
1139;42;2008; ;24
1140;42;2009; ;4
1141;42;2010; ;19
1142;42;2011; ;192
1143;42;2011;1;1
1144;42;2012; ;34
1145;42;2013; ;12
1146;42;2014; ;16
1147;42;2015; ;20
1148;42;2016; ;24
1149;42;2017; ;47
1150;42;2018; ;46
1151;42;2019; ;50
1152;42;2020; ;4
1153;42;2021; ;6
1154;42;2022; ;45
1155;42;2022;1;2
1156;42;2023; ;152
1157;42;2023;1;30
1158;42;2023;2;5
1159;43;2007; ;35
1160;43;2008; ;22
1161;43;2009; ;3
1162;43;2010; ;30
1163;43;2011; ;263
1164;43;2012; ;33
1165;43;2012;4;1
1166;43;2013; ;10
1167;43;2014; ;8
1168;43;2015; ;19
1169;43;2016; ;31
1170;43;2017; ;40
1171;43;2018; ;48
1172;43;2019; ;47
1173;43;2020; ;14
1174;43;2021; ;2
1175;43;2022; ;45
1176;43;2022;1;2
1177;43;2022;2;2
1178;43;2023; ;140
1179;43;2023;1;37
1180;43;2023;2;10
1181;44;2002; ;1
1182;44;2007; ;50
1183;44;2007;2;1
1184;44;2008; ;17
1185;44;2009; ;5
1186;44;2010; ;44
1187;44;2011; ;231
1188;44;2012; ;40
1189;44;2012;3;1
1190;44;2013; ;17
1191;44;2014; ;16
1192;44;2015; ;29
1193;44;2016; ;23
1194;44;2017; ;25
1195;44;2018; ;36
1196;44;2019; ;27
1197;44;2020; ;4
1198;44;2021; ;4
1199;44;2022; ;45
1200;44;2022;1;1
1201;44;2023; ;150
1202;44;2023;1;52
1203;44;2023;2;11
1204;45;2006; ;1
1205;45;2007; ;70
1206;45;2007;2;2
1207;45;2008; ;26
1208;45;2009; ;8
1209;45;2010; ;43
1210;45;2011; ;300
1211;45;2012; ;26
1212;45;2013; ;8
1213;45;2014; ;9
1214;45;2014;1;1
1215;45;2015; ;34
1216;45;2016; ;29
1217;45;2017; ;36
1218;45;2018; ;51
1219;45;2019; ;52
1220;45;2020; ;5
1221;45;2021; ;3
1222;45;2022; ;56
1223;45;2022;1;1
1224;45;2023; ;212
1225;45;2023;1;87
1226;45;2023;2;18
1227;46;2007; ;87
1228;46;2007;3;1
1229;46;2008; ;37
1230;46;2009; ;4
1231;46;2010; ;49
1232;46;2010;1;1
1233;46;2010;3;1
1234;46;2011; ;278
1235;46;2011;1;1
1236;46;2012; ;17
1237;46;2013; ;8
1238;46;2014; ;16
1239;46;2014;1;1
